event_id,expedition_id,sequence,trajectory_id,subject_type,subject_label,event_type,origin_node,destination_node,date_from,date_to,date_precision,variant_group,preferred_for_simulation,evidence_grade,evidence_scope,source_id,notes
GAMA1502_E04,EXP_GAMA_1502,4,MAIN_FLEET,FLEET,Armada principal,FLEET_DEPARTURE,CAN,CAL,1502-10-27,1502-10-27,EXACT,,TRUE,A,NODE_DIRECT,CALCOEN_1504,"A relação contemporânea registra saída de Cananor em 27/10/1502 rumo a Calecute. O evento fixa o movimento sem impor duração observada ou criar combate genérico."
GAMA1502_E05,EXP_GAMA_1502,5,MAIN_FLEET,FLEET,Armada principal,FLEET_DEPARTURE,CAL,COC,1502-11-02,1502-11-02,EXACT,,TRUE,A,NODE_DIRECT,CALCOEN_1504,"A relação contemporânea registra em 02/11/1502 a navegação de Calecute rumo a Cochim. O marco não transforma a conexão em observação diária de duração."
GAMA1502_E06,EXP_GAMA_1502,6,MAIN_FLEET,POLITICAL_ACTOR,Rajá de Cochim,ROYAL_NEGOTIATION,COC,COC,1502-11-28,1502-11-28,EXACT,,TRUE,A,NODE_DIRECT,CALCOEN_1504,"Audiência e negociação com o soberano de Cochim em 28/11/1502 para compra de especiarias e outras mercadorias; não implica soberania portuguesa nem preço sistêmico."
GAMA1503_E07,EXP_GAMA_1502,7,MAIN_FLEET,FLEET,Armada principal,FLEET_DEPARTURE,COC,COC,1503-01-03,1503-01-03,EXACT,,TRUE,A,NODE_DIRECT,CALCOEN_1504,"A relação contemporânea registra partida de Cochim em 03/01/1503 para Quilon. Quilon ainda não é materializado como nó operacional nesta tranche."
GAMA1503_E08,EXP_GAMA_1502,8,MAIN_FLEET,FLEET,Forças portuguesas e de Calecute,NAVAL_ENGAGEMENT,CAL,CAL,1503-02-12,1503-02-12,EXACT,,TRUE,A,NODE_DIRECT,CALCOEN_1504,"Combate naval documentado em 12/02/1503; permanece evento histórico específico e não autoriza sistema geral de combate."
GAMA1503_E09,EXP_GAMA_1502,9,MAIN_FLEET,FLEET,Armada principal,RETURN_PREPARATION,CAL,CAN,1503-02-13,1503-02-13,EXACT,,TRUE,A,NODE_DIRECT,CALCOEN_1504,"No dia seguinte ao combate, a armada parte em direção a Cananor após preparar o retorno a Portugal. O evento prova presença da frota principal no Malabar em 13/02, mas não fixa a data final de separação de Vicente Sodré."
GAMA1503_E10,EXP_GAMA_1502,10,MAIN_FLEET,FLEET,Armada principal,RETURN_FLEET_DEPARTS,CAN,LIS,1503-02-23,1503-02-28,RANGE,,TRUE,A,NODE_DIRECT,CALCOEN_1504|ANTT_GAMA_CAN_1503|SUBRAHMANYAM_PEA,"Vasco da Gama ainda está documentalmente em Cananor em 22/02/1503; a partida final é situada no fim de fevereiro. O intervalo 23–28/02 evita elevar a reconstrução de 28/02 a testemunho diário e não cria uma rota executável Cananor–Lisboa."
DPP1504_E01,EXP_DUARTE_PACHECO_DEFENSE_1504,1,RESIDENT_DEFENSE,RESIDENT_FORCE,Força luso-cochinense sob Duarte Pacheco,DEFENSE_CAMPAIGN_BEGINS,COC,COC,1504-03-01,1504-03-31,RANGE,,TRUE,B,NODE_DIRECT,EVE_DUARTE_PACHECO|JESUS_LAND_WARFARE_2021,"O início da campanha defensiva é situado em março. Os limites do mês são normalização conservadora e não datas de batalha; 16/03 permanece candidato historiográfico, não EXACT."
DPP1504_E02,EXP_DUARTE_PACHECO_DEFENSE_1504,2,RESIDENT_DEFENSE,RESIDENT_FORCE,Força luso-cochinense sob Duarte Pacheco,DEFENSIVE_OPERATIONS_REPEATED,COC,COC,1504-03-01,1504-05-31,RANGE,,TRUE,B,NODE_DIRECT,EVE_DUARTE_PACHECO|JESUS_LAND_WARFARE_2021,"Ataques e respostas defensivas repetem-se entre março e maio; terreno lagunar, passagens estreitas e artilharia são fatores causais documentados, sem quantificação de dano, moral ou força."
DPP1504_E03,EXP_DUARTE_PACHECO_DEFENSE_1504,3,RESIDENT_DEFENSE,RESIDENT_FORCE,Força luso-cochinense sob Duarte Pacheco,DEFENSE_CAMPAIGN_ENDS,COC,COC,1504-07-01,1504-07-31,RANGE,,TRUE,B,NODE_DIRECT,EVE_DUARTE_PACHECO,"A fase principal da ofensiva encerra-se em julho com preservação de Cochim. 03/07 permanece candidato historiográfico, não EXACT; o evento não altera soberania, fortificação ou guarnição."
LS1504_E01,EXP_LOPO_SOARES_1504,1,MAIN_FLEET,FLEET,Armada de Lopo Soares de Albergaria,ROYAL_FLEET_ARRIVES_COCHIN,,COC,1504-09-14,1504-09-14,EXACT,,TRUE,A,NODE_DIRECT,ALVARO_VAZ_COCHIN_1504|VICENTE_PORTUGAL_MADAGASCAR,"A chegada a Cochim em 14/09/1504 é confirmada em reconstrução académica por referência à carta contemporânea de Álvaro Vaz, de 24/12/1504. O evento não infere a origem imediata, não cria perna executável e não altera soberania local."
