route_id,origin_node,destination_node,route_type,route_origin,period_from,period_to,seasonality,monsoon_dependence,base_distance_nm,navigation_notes,crown_knowledge_1497,player_knowledge_default,evidence_strength,evidence_scope,source_id,notes
R_KIL_MOZ,KIL,MOZ,COASTAL_OCEANIC,PREEXISTING_NETWORK,1450,1500,MONSOONAL,HIGH,,"Ligação costeira dentro da rede suaíli do Índico ocidental.",INDIRECT,UNKNOWN,B,NETWORK,ALPERS_IOWH|SUBRAHMANYAM_PEA,"A rota representa conectividade regional, não uma carreira portuguesa."
R_MOZ_MOM,MOZ,MOM,COASTAL_OCEANIC,PREEXISTING_NETWORK,1450,1500,MONSOONAL,HIGH,,"Ligação entre portos da costa suaíli; Gama percorreu esse eixo em 1498.",LOW,UNKNOWN,B,NETWORK,SUBRAHMANYAM_PEA|ALPERS_IOWH|ROTEIRO_GAMA_1497,"A presença portuguesa em 1498 usa uma rede costeira anterior."
R_MOM_MAL,MOM,MAL,COASTAL_OCEANIC,PREEXISTING_NETWORK,1450,1500,MONSOONAL,HIGH,,"Ligação entre cidades-Estado suaílis do norte; Gama passou de Mombaça a Melinde em abril de 1498.",LOW,UNKNOWN,B,NETWORK,SUBRAHMANYAM_PEA|ALPERS_IOWH|ROTEIRO_GAMA_1497,"O trecho integra a rede regional anterior à presença portuguesa."
R_MAL_CAL,MAL,CAL,OCEANIC,PREEXISTING_NETWORK,1450,1500,SW_NE_MONSOON_CYCLE,HIGH,,"Travessia do oeste do Índico dependente da janela monçônica; em 1498 Gama partiu de Melinde com piloto guzerate rumo a Calecute.",INDIRECT,UNKNOWN,A,NODE_DIRECT,SUBRAHMANYAM_PEA|ALPERS_IOWH,"A travessia portuguesa de 1498 não cria a conexão: navios indianos e pilotos já a conheciam."
R_CAL_ADE,CAL,ADE,OCEANIC,PREEXISTING_NETWORK,1450,1500,MONSOONAL,HIGH,,"Ligação do Malabar com o Mar Vermelho; parte do comércio de alto-mar orientado para oeste.",INDIRECT,UNKNOWN,A,REGIONAL,PRAKASH_ECE|SUBRAHMANYAM_PEA,"Aden representa o grande terminal do Mar Vermelho na base v0.1."
R_CAL_HUR,CAL,HUR,OCEANIC,PREEXISTING_NETWORK,1450,1500,MONSOONAL,HIGH,,"Ligação do Malabar com o Golfo Pérsico e Hurmuz.",INDIRECT,UNKNOWN,A,REGIONAL,PRAKASH_ECE|SUBRAHMANYAM_PEA,"Fluxos específicos serão refinados com evidência por mercadoria."
R_CAL_CAM,CAL,CAM,COASTAL_OCEANIC,PREEXISTING_NETWORK,1450,1500,SEASONAL,MEDIUM,,"Conexão costeira do Malabar para o norte até Gujarat.",INDIRECT,UNKNOWN,A,REGIONAL,PRAKASH_ECE,"Rota costeira agregada para a primeira base; escalas intermediárias serão adicionadas apenas se necessárias."
R_CAL_COC,CAL,COC,COASTAL_OCEANIC,PREEXISTING_NETWORK,1450,1505,MALABAR_COASTAL,MEDIUM,,"Ligação costeira entre Calecute e Cochim dentro da rede mercantil preexistente do Malabar; Cabral percorreu esse eixo após a ruptura em Calecute em dezembro de 1500.",UNKNOWN,UNKNOWN,A,REGIONAL,PRAKASH_ECE|OLIVEIRA_COSTA_CABRAL_1500,"A viagem portuguesa de 1500 confirma o uso da conexão, mas não cria a rota."
R_CAL_MLK,CAL,MLK,OCEANIC,PREEXISTING_NETWORK,1450,1500,MONSOONAL,HIGH,,"Ligação oriental entre Malabar e Melaka, provavelmente multietapas e dependente de monções.",INDIRECT,UNKNOWN,A,REGIONAL,PRAKASH_ECE,"Não implica viagem direta sem escalas."
R_CAM_MLK,CAM,MLK,OCEANIC,PREEXISTING_NETWORK,1450,1500,MONSOONAL,HIGH,,"Grande circuito entre Gujarat e Melaka, articulando tecidos indianos e mercadorias do Sudeste Asiático.",INDIRECT,UNKNOWN,A,NETWORK,PRAKASH_ECE|SUBRAHMANYAM_PEA,"Rota fundamental para demonstrar que a economia índica é reticular e anterior à chegada portuguesa."
R_CAL_SMI,CAL,SMI,COASTAL_OCEANIC,PORTUGUESE_EXPEDITION,1498,1498,INDIAN_WEST_COAST,HIGH,,"Retorno costeiro de Calecute aos Ilhéus de Santa Maria, com navegação por brisas de terra e mar e contatos costeiros; em 11 de setembro o Roteiro registra barcos oferecendo peixe para venda.",UNKNOWN,UNKNOWN,A,NODE_DIRECT,ROTEIRO_GAMA_1497,"Perna documentada de 30 de agosto a 15 de setembro de 1498."
R_SMI_ANJ,SMI,ANJ,COASTAL_OCEANIC,PORTUGUESE_EXPEDITION,1498,1498,INDIAN_WEST_COAST,HIGH,,"Dos Ilhéus de Santa Maria a Anjediva; a armada deixou Santa Maria na mesma noite e alcançou Anjediva em 20 de setembro.",UNKNOWN,UNKNOWN,A,NODE_DIRECT,ROTEIRO_GAMA_1497,"Perna curta de cinco dias criada porque a parada em Santa Maria passou a ser materialmente relevante para a continuidade logística."
R_ANJ_MAL,ANJ,MAL,OCEANIC,PORTUGUESE_EXPEDITION,1498,1499,NE_MONSOON_TRANSITION,HIGH,,"Travessia de retorno extremamente longa e severa, com calmarias, ventos contrários, doença e elevada mortalidade documentada.",UNKNOWN,UNKNOWN,A,NODE_DIRECT,ROTEIRO_GAMA_1497,"A duração observada é 94 dias, de 5 de outubro de 1498 a 7 de janeiro de 1499."
R_MAL_BSR,MAL,BSR,COASTAL_OCEANIC,PORTUGUESE_EXPEDITION,1499,1499,EAST_AFRICA_COAST,HIGH,,"Trecho curto ao sul de Melinde; Mombaça aparece como passagem, sem escala operacional documentada no retorno.",UNKNOWN,UNKNOWN,B,NODE_DIRECT,ROTEIRO_GAMA_1497,"A frota chega aos Baixos de São Rafael em 13 de janeiro de 1499."
R_BSR_SBR,BSR,SBR,COASTAL_OCEANIC,PORTUGUESE_EXPEDITION,1499,1499,EAST_AND_SOUTHERN_AFRICA_COAST,MEDIUM,,"Trecho agregado após a queima do São Rafael; passa por Zanzibar, Ilha de São Jorge e proximidades de Moçambique sem converter essas referências em mercados ou escalas plenas.",UNKNOWN,UNKNOWN,B,NODE_DIRECT,ROTEIRO_GAMA_1497,"A agregação termina em São Brás em 3 de março de 1499; a Ilha de São Jorge permanece registrada em notas, não como nó operacional."
R_SBR_CGH_RET,SBR,CGH,COASTAL_OCEANIC,PORTUGUESE_EXPEDITION,1499,1499,SOUTHERN_AFRICA_CURRENTS,NONE,,"Retorno de São Brás ao Cabo. A tentativa de partida em 12 de março foi frustrada por vento oeste e a fonte resume a dobragem em 20 de março.",UNKNOWN,UNKNOWN,B,NODE_DIRECT,ROTEIRO_GAMA_1497,"Rota direcional distinta da perna CGH-SBR da ida."
R_CGH_BRG,CGH,BRG,OCEANIC,PORTUGUESE_EXPEDITION,1499,1499,SOUTH_ATLANTIC_RETURN,NONE,,"Do Cabo aos Baixos do Rio Grande, com longa navegação por mar aberto e aproximação final reconhecida por sondagens, sem terra à vista.",UNKNOWN,UNKNOWN,B,NODE_DIRECT,ROTEIRO_GAMA_1497,"Chegada aos baixos em 25 de abril de 1499; este ponto encerra a narrativa primária do Roteiro."
R_LIS_VCR_CAB,LIS,VCR,OCEANIC,PORTUGUESE_EXPEDITION,1500,1500,ATLANTIC_SEASONAL,NONE,,"Abertura atlântica da armada de Cabral. A rota operacional agrega Canárias e Cabo Verde como referências da viagem, sem criar escalas jogáveis que não sejam necessárias ao loop.",HIGH,MEDIUM,A,NODE_DIRECT,CAMINHA_1500_ANTT|OLIVEIRA_COSTA_CABRAL_1500,"Partida de Lisboa em 9 de março de 1500 e avistamento de Vera Cruz em 22 de abril; a permanência local começa a ser modelada no nó VCR."
R_VCR_CGH_CAB,VCR,CGH,STRATEGIC_AGGREGATE,PORTUGUESE_EXPEDITION,1500,1500,SOUTH_ATLANTIC_CROSSING,NONE,,"Conexão cartográfica para o marco do Cabo durante a travessia de Cabral. O temporal de maio, as quatro perdas e a separação de Diogo Dias permanecem na camada de eventos.",UNKNOWN,UNKNOWN,A,NETWORK,OLIVEIRA_COSTA_CABRAL_1500,"Não é perna executável: a documentação não fornece uma data segura de chegada/partida no Cabo. Preservar CGH como marco de evento evita fabricar uma escala operacional."
R_VCR_MOZ_CAB,VCR,MOZ,OCEANIC,PORTUGUESE_EXPEDITION,1500,1500,SOUTH_ATLANTIC_TO_MOZAMBIQUE,NONE,,"Perna operacional agregada da retomada em Vera Cruz até a passagem pela Ilha de Moçambique. A passagem pelo Cabo e as perdas de maio são preservadas como eventos intermediários, sem criar escala jogável no Cabo.",UNKNOWN,UNKNOWN,A,NODE_DIRECT,OLIVEIRA_COSTA_CABRAL_1500,"Partida em 2 de maio de 1500 e referência de chegada/passagem em Moçambique em 20 de julho de 1500. A agregação é deliberada para não inventar uma data de partida no Cabo."
R_MOZ_KIL_CAB,MOZ,KIL,COASTAL_OCEANIC,PORTUGUESE_EXPEDITION,1500,1500,EAST_AFRICA_COAST,HIGH,,"Progressão costeira da armada principal de Cabral da referência de Moçambique até Quiloa/Kilwa. A rota operacional segue a cronologia especializada e não infere mercado ou domínio português sobre Kilwa.",UNKNOWN,UNKNOWN,B,NODE_DIRECT,OLIVEIRA_COSTA_CABRAL_1500,"Partida/passagem em Moçambique em 20 de julho e chegada/reunião em Quiloa em 26 de julho de 1500."
R_KIL_MAL_CAB,KIL,MAL,COASTAL_OCEANIC,PORTUGUESE_EXPEDITION,1500,1500,EAST_AFRICA_COAST,HIGH,,"Progressão da armada de Cabral de Quiloa a Melinde. A perna termina na escala documentada em Melinde; os pilotos obtidos ali são tratados separadamente e não são pressupostos para esta navegação.",UNKNOWN,UNKNOWN,B,NODE_DIRECT,OLIVEIRA_COSTA_CABRAL_1500,"Partida de Quiloa em 29 de julho e chegada a Melinde em 2 de agosto de 1500."
R_MAL_ANJ_CAB,MAL,ANJ,OCEANIC,PORTUGUESE_EXPEDITION,1500,1500,SW_MONSOON_CYCLE,HIGH,,"Travessia de Melinde para a costa indiana com os dois pilotos guzerates documentados em 1500. A chegada operacional em Anjediva combina a data de 22 de agosto para alcançar a costa indiana com a identificação de Greenlee de Anjediva como a terra alcançada.",UNKNOWN,UNKNOWN,B,NODE_DIRECT,OLIVEIRA_COSTA_CABRAL_1500|GREENLEE_CABRAL_1938,"Partida de Melinde em 7 de agosto e chegada de trabalho a Anjediva em 22 de agosto. A associação entre a data e a ilha é reconstrução documental explícita, não data primária isolada."
R_ANJ_CAL_CAB,ANJ,CAL,COASTAL_OCEANIC,PORTUGUESE_EXPEDITION,1500,1500,INDIAN_WEST_COAST,HIGH,,"Progressão costeira de Anjediva a Calecute após a permanência de aproximadamente duas semanas. A data de partida usada pelo modo guiado é derivada operacionalmente da duração documentada, não uma data independente da fonte.",UNKNOWN,UNKNOWN,B,NODE_DIRECT,OLIVEIRA_COSTA_CABRAL_1500|GREENLEE_CABRAL_1938,"Saída operacional em 5 de setembro, derivada de 14 dias desde 22 de agosto; chegada a Calecute em 13 de setembro é documentalmente firme."
R_COC_CAN_CAB,COC,CAN,COASTAL_OCEANIC,PORTUGUESE_EXPEDITION,1501,1501,MALABAR_COASTAL,MEDIUM,,"Progressão costeira de Cabral após a saída abrupta de Cochim. A perna termina no primeiro contacto operacional português documentado em Cananor.",UNKNOWN,UNKNOWN,A,NODE_DIRECT,OLIVEIRA_COSTA_CABRAL_1500|EVE_CANNANORE,"Partida de Cochim em 9 de janeiro de 1501 e chegada a Cananor em 15 de janeiro. A rota registra a sequência histórica sem transformar o contacto favorável em posse ou feitoria retroativa."
R_LIS_SBR_NOVA,LIS,SBR,OCEANIC,PORTUGUESE_EXPEDITION,1501,1501,ATLANTIC_TO_SOUTHERN_AFRICA,NONE,,"Primeira perna ordenada da armada de João da Nova. A sequência Lisboa–São Brás é documentada, mas a data diária de chegada não é tratada como observação histórica nesta tranche.",UNKNOWN,UNKNOWN,B,NODE_DIRECT,DEFESA_JNOVA_1501|SUBRAHMANYAM_PEA,"A duração jogável é estimada pelo motor; não há linha correspondente em voyage_observations.csv."
R_SBR_KIL_NOVA,SBR,KIL,OCEANIC,PORTUGUESE_EXPEDITION,1501,1501,SOUTHERN_TO_EAST_AFRICA,HIGH,,"Após adquirir em São Brás o aviso deixado pela armada de Cabral, João da Nova segue para Quiloa. A ordem é documentalmente sustentada; o timing diário permanece não resolvido.",UNKNOWN,UNKNOWN,B,NODE_DIRECT,DEFESA_JNOVA_1501,"Sem voyage_observation diária; duração do loop é parâmetro de simulação."
R_KIL_MAL_NOVA,KIL,MAL,COASTAL_OCEANIC,PORTUGUESE_EXPEDITION,1501,1501,EAST_AFRICA_COAST,HIGH,,"Progressão documentada de Quiloa a Melinde na armada de 1501. A costa oriental africana é situada em agosto em síntese especializada, sem dias seguros por escala.",UNKNOWN,UNKNOWN,B,NODE_DIRECT,DEFESA_JNOVA_1501|SUBRAHMANYAM_PEA,"Sem datas diárias inventadas; duração é estimada pelo motor."
R_MAL_ANJ_NOVA,MAL,ANJ,OCEANIC,PORTUGUESE_EXPEDITION,1501,1501,SW_MONSOON_CYCLE,HIGH,,"Travessia de Melinde para Anjediva na sequência oficial da armada de João da Nova. O corpus sustenta a chegada à Índia em nível mensal, não uma data diária inequívoca.",UNKNOWN,UNKNOWN,B,NODE_DIRECT,DEFESA_JNOVA_1501|SUBRAHMANYAM_PEA,"Não reutiliza a observação Cabral 1500; timing jogável é estimado e não observado."
R_ANJ_CAN_NOVA,ANJ,CAN,COASTAL_OCEANIC,PORTUGUESE_EXPEDITION,1501,1501,INDIAN_WEST_COAST,HIGH,,"Progressão de Anjediva a Cananor na sequência de 1501. Cananor é alcançada antes de Cochim; a cronologia disponível é mensal/ordinal.",UNKNOWN,UNKNOWN,B,NODE_DIRECT,DEFESA_JNOVA_1501|EVE_CANNANORE,"A rota não cria feitoria na chegada; o estado institucional pertence ao evento temporal de fim de 1501."
R_CAN_COC_NOVA,CAN,COC,COASTAL_OCEANIC,PORTUGUESE_EXPEDITION,1501,1501,MALABAR_COASTAL,MEDIUM,,"Ligação de Cananor a Cochim na campanha de João da Nova, após o aviso de São Brás orientar a expedição a evitar Calecute.",UNKNOWN,UNKNOWN,B,NODE_DIRECT,DEFESA_JNOVA_1501|EVE_CANNANORE,"Sequência histórica firme; duração diária não documentada nesta tranche."
R_COC_CAN_NOVA,COC,CAN,COASTAL_OCEANIC,PORTUGUESE_EXPEDITION,1501,1501,MALABAR_COASTAL,MEDIUM,,"Retorno de João da Nova de Cochim a Cananor após o carregamento comercial. A presença em Cananor em 30/12/1501 é marco firme, mas a data diária da saída de Cochim permanece não resolvida.",UNKNOWN,UNKNOWN,B,NODE_DIRECT,DEFESA_JNOVA_1501|EVE_CANNANORE,"A perna prepara o marco de 30/12 sem interpolar uma data de partida; duração jogável permanece simulação."
R_LIS_SOF_GAMA1502,LIS,SOF,OCEANIC,PORTUGUESE_EXPEDITION,1502,1502,ATLANTIC_TO_SOUTHEAST_AFRICA,NONE,,"Perna funcional agregada Lisboa–Sofala da segunda armada de Vasco da Gama. A partida em 01/02/1502 é documental e Sofala é alcançada em junho; a chegada diária permanece não resolvida.",HIGH,UNKNOWN,B,NODE_DIRECT,SUBRAHMANYAM_PEA,"Sem observação de viagem: a duração executável deriva da geodésica e das regras de simulação, não de uma data histórica inventada."
R_KIL_CAN_GAMA1502,KIL,CAN,OCEANIC,PORTUGUESE_EXPEDITION,1502,1502,EAST_AFRICA_TO_MALABAR,HIGH,,"Perna funcional agregada Quiloa–Cananor. Quiloa pertence à cronologia de julho e a zona de Cananor à de setembro; escalas intermediárias não são materializadas sem evidência suficiente.",UNKNOWN,UNKNOWN,B,NODE_DIRECT,SUBRAHMANYAM_PEA|EVE_CANNANORE,"Sem observação diária; a duração é parâmetro de simulação e não reconstrução do caminho efetivamente navegado."
